Date : 2022-03-10 16:47:02
Directory : /Users/tsubasa/Desktop/dev/fbe/homepage
Total : 102 files,  13700 codes, 1124 comments, 1542 blanks, all 16366 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/tsubasa/Desktop/dev/fbe/homepage/package.json                                | JSON               |         36 |          0 |          1 |         37 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/pages/_app.tsx                              | TypeScript React   |         53 |          0 |         12 |         65 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/pages/_document.tsx                         | TypeScript React   |         52 |          0 |          2 |         54 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/pages/credit.tsx                            | TypeScript React   |        182 |          0 |         16 |        198 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/pages/docs/[id].tsx                         | TypeScript React   |         89 |         18 |         10 |        117 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/pages/docs/index.tsx                        | TypeScript React   |         78 |         10 |         11 |         99 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/pages/docs/scss/[id].module.scss            | SCSS               |          6 |          0 |          3 |          9 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/pages/index.tsx                             | TypeScript React   |        119 |          9 |          6 |        134 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/pages/scss/credit.module.scss               | SCSS               |         33 |          0 |          5 |         38 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/pages/scss/index.module.scss                | SCSS               |        132 |          1 |         16 |        149 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/public/googlea626c14ac8c9a511.html          | HTML               |          1 |          0 |          0 |          1 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/public/manifest.json                        | JSON               |         67 |          0 |          1 |         68 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/public/sitemap.xml                          | XML                |         28 |          0 |          0 |         28 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/public/sw.js                                | JavaScript         |         76 |         28 |         11 |        115 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/public/workbox-9a8b0a38.js                  | JavaScript         |      1,441 |        934 |        363 |      2,738 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/style/_var.scss                             | SCSS               |        133 |         10 |         15 |        158 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/style/global.scss                           | SCSS               |         10 |          0 |          4 |         14 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/style/media.ts                              | TypeScript         |          1 |          0 |          4 |          5 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/tsconfig.json                               | JSON with Comments |         32 |          0 |          0 |         32 |
| Total                                                                               |                    |     13,700 |      1,124 |      1,542 |     16,366 |
+-------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
