"filename", "language", "JSON", "TypeScript React", "SCSS", "JavaScript React", "JSON with Comments", "TypeScript", "JavaScript", "XML", "HTML", "Markdown", "SVG", "comment", "blank", "total"
"/Users/tsubasa/Desktop/dev/fbe/homepage/datasets/getstart/getstart.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"/Users/tsubasa/Desktop/dev/fbe/homepage/datasets/getstart/introduction.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 38, 89
"/Users/tsubasa/Desktop/dev/fbe/homepage/datasets/getstart/saving.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 35, 78
"/Users/tsubasa/Desktop/dev/fbe/homepage/datasets/getstart/test.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 7, 29
"/Users/tsubasa/Desktop/dev/fbe/homepage/datasets/pages.ts", "TypeScript", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 5, 7, 35
"/Users/tsubasa/Desktop/dev/fbe/homepage/image/bg-top.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"/Users/tsubasa/Desktop/dev/fbe/homepage/image/index.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/tsubasa/Desktop/dev/fbe/homepage/image/vercel.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"/Users/tsubasa/Desktop/dev/fbe/homepage/lib/classNames.ts", "TypeScript", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 13, 3, 37
"/Users/tsubasa/Desktop/dev/fbe/homepage/lib/conf.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 4, 9
"/Users/tsubasa/Desktop/dev/fbe/homepage/lib/docs.ts", "TypeScript", 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 4, 6, 113
"/Users/tsubasa/Desktop/dev/fbe/homepage/lib/getstart.ts", "TypeScript", 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 3, 11, 95
"/Users/tsubasa/Desktop/dev/fbe/homepage/lib/gtag.ts", "TypeScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 4, 6, 32
"/Users/tsubasa/Desktop/dev/fbe/homepage/lib/hooks/useBoolState.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 5, 19
"/Users/tsubasa/Desktop/dev/fbe/homepage/lib/hooks/useClasses.tsx", "TypeScript React", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 44
"/Users/tsubasa/Desktop/dev/fbe/homepage/lib/hooks/useScroll.tsx", "TypeScript React", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/tsubasa/Desktop/dev/fbe/homepage/lib/mymarkdown/index.module.scss", "SCSS", 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 107
"/Users/tsubasa/Desktop/dev/fbe/homepage/lib/mymarkdown/index.tsx", "TypeScript React", 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 146
"/Users/tsubasa/Desktop/dev/fbe/homepage/lib/releases.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 4, 9
"/Users/tsubasa/Desktop/dev/fbe/homepage/next-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 7
"/Users/tsubasa/Desktop/dev/fbe/homepage/next-sitemap.js", "JavaScript", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"/Users/tsubasa/Desktop/dev/fbe/homepage/next.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 7, 3, 20
"/Users/tsubasa/Desktop/dev/fbe/homepage/package-lock.json", "JSON", 8574, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8575
"/Users/tsubasa/Desktop/dev/fbe/homepage/package.json", "JSON", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"/Users/tsubasa/Desktop/dev/fbe/homepage/pages/_app.tsx", "TypeScript React", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 65
"/Users/tsubasa/Desktop/dev/fbe/homepage/pages/_document.tsx", "TypeScript React", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 54
"/Users/tsubasa/Desktop/dev/fbe/homepage/pages/credit.tsx", "TypeScript React", 0, 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 198
"/Users/tsubasa/Desktop/dev/fbe/homepage/pages/docs/[id].tsx", "TypeScript React", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 10, 117
"/Users/tsubasa/Desktop/dev/fbe/homepage/pages/docs/index.tsx", "TypeScript React", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 11, 99
"/Users/tsubasa/Desktop/dev/fbe/homepage/pages/docs/scss/[id].module.scss", "SCSS", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/tsubasa/Desktop/dev/fbe/homepage/pages/index.tsx", "TypeScript React", 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 134
"/Users/tsubasa/Desktop/dev/fbe/homepage/pages/scss/credit.module.scss", "SCSS", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 38
"/Users/tsubasa/Desktop/dev/fbe/homepage/pages/scss/index.module.scss", "SCSS", 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 149
"/Users/tsubasa/Desktop/dev/fbe/homepage/public/googlea626c14ac8c9a511.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/tsubasa/Desktop/dev/fbe/homepage/public/manifest.json", "JSON", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 68
"/Users/tsubasa/Desktop/dev/fbe/homepage/public/sitemap.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 28
"/Users/tsubasa/Desktop/dev/fbe/homepage/public/sw.js", "JavaScript", 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 28, 11, 115
"/Users/tsubasa/Desktop/dev/fbe/homepage/public/workbox-9a8b0a38.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1441, 0, 0, 0, 0, 934, 363, 2738
"/Users/tsubasa/Desktop/dev/fbe/homepage/style/_var.scss", "SCSS", 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 10, 15, 158
"/Users/tsubasa/Desktop/dev/fbe/homepage/style/global.scss", "SCSS", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/tsubasa/Desktop/dev/fbe/homepage/style/media.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 5
"/Users/tsubasa/Desktop/dev/fbe/homepage/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 32
"Total", "-", 8780, 1261, 879, 3, 32, 293, 1532, 28, 1, 880, 11, 1124, 1542, 16366
